ticket_type,RRP,ID,tickets_available
Interior_Mid,500,Ship1,90
Interior_Aft,550,Ship1,90
Interior_Bow,600,Ship1,90
Balcony_Mid,650,Ship1,90
Balcony_Aft,700,Ship1,90
Balcony_Bow,750,Ship1,80
Suites_Mid,900,Ship1,80
Suites_Aft,1000,Ship1,80
Suites_Bow,1100,Ship1,80
OceanView_Mid,1500,Ship1,50
OceanView_Aft,1800,Ship1,50
OceanView_Bow,2100,Ship1,50
MiniSuites_Mid,2500,Ship1,20
MiniSuites_Aft,2600,Ship1,20
MiniSuites_Bow,2700,Ship1,20
PenthouseSuites_Aft,3500,Ship1,10
PenthouseSuites_Bow,4000,Ship1,10
Interior_Mid,500,Ship2,99
Interior_Aft,550,Ship2,99
Interior_Bow,600,Ship2,99
Balcony_Mid,650,Ship2,99
Balcony_Aft,700,Ship2,99
Balcony_Bow,750,Ship2,88
Suites_Mid,900,Ship2,88
Suites_Aft,1000,Ship2,88
Suites_Bow,1100,Ship2,88
OceanView_Mid,1500,Ship2,55
OceanView_Aft,1800,Ship2,55
OceanView_Bow,2100,Ship2,55
MiniSuites_Mid,2500,Ship2,22
MiniSuites_Aft,2600,Ship2,22
MiniSuites_Bow,2700,Ship2,22
PenthouseSuites_Aft,3500,Ship2,11
PenthouseSuites_Bow,4000,Ship2,11
Interior_Mid,500,Ship3,108
Interior_Aft,550,Ship3,108
Interior_Bow,600,Ship3,108
Balcony_Mid,650,Ship3,108
Balcony_Aft,700,Ship3,108
Balcony_Bow,750,Ship3,96
Suites_Mid,900,Ship3,96
Suites_Aft,1000,Ship3,96
Suites_Bow,1100,Ship3,96
OceanView_Mid,1500,Ship3,60
OceanView_Aft,1800,Ship3,60
OceanView_Bow,2100,Ship3,60
MiniSuites_Mid,2500,Ship3,24
MiniSuites_Aft,2600,Ship3,24
MiniSuites_Bow,2700,Ship3,24
PenthouseSuites_Aft,3500,Ship3,12
PenthouseSuites_Bow,4000,Ship3,12
Interior_Mid,500,Ship4,117
Interior_Aft,550,Ship4,117
Interior_Bow,600,Ship4,117
Balcony_Mid,650,Ship4,117
Balcony_Aft,700,Ship4,117
Balcony_Bow,750,Ship4,104
Suites_Mid,900,Ship4,104
Suites_Aft,1000,Ship4,104
Suites_Bow,1100,Ship4,104
OceanView_Mid,1500,Ship4,65
OceanView_Aft,1800,Ship4,65
OceanView_Bow,2100,Ship4,65
MiniSuites_Mid,2500,Ship4,26
MiniSuites_Aft,2600,Ship4,26
MiniSuites_Bow,2700,Ship4,26
PenthouseSuites_Aft,3500,Ship4,13
PenthouseSuites_Bow,4000,Ship4,13
Interior_Mid,500,Ship5,126
Interior_Aft,550,Ship5,126
Interior_Bow,600,Ship5,126
Balcony_Mid,650,Ship5,126
Balcony_Aft,700,Ship5,126
Balcony_Bow,750,Ship5,112
Suites_Mid,900,Ship5,112
Suites_Aft,1000,Ship5,112
Suites_Bow,1100,Ship5,112
OceanView_Mid,1500,Ship5,70
OceanView_Aft,1800,Ship5,70
OceanView_Bow,2100,Ship5,70
MiniSuites_Mid,2500,Ship5,28
MiniSuites_Aft,2600,Ship5,28
MiniSuites_Bow,2700,Ship5,28
PenthouseSuites_Aft,3500,Ship5,14
PenthouseSuites_Bow,4000,Ship5,14
Interior_Mid,500,Ship6,135
Interior_Aft,550,Ship6,135
Interior_Bow,600,Ship6,135
Balcony_Mid,650,Ship6,135
Balcony_Aft,700,Ship6,135
Balcony_Bow,750,Ship6,120
Suites_Mid,900,Ship6,120
Suites_Aft,1000,Ship6,120
Suites_Bow,1100,Ship6,120
OceanView_Mid,1500,Ship6,75
OceanView_Aft,1800,Ship6,75
OceanView_Bow,2100,Ship6,75
MiniSuites_Mid,2500,Ship6,30
MiniSuites_Aft,2600,Ship6,30
MiniSuites_Bow,2700,Ship6,30
PenthouseSuites_Aft,3500,Ship6,15
PenthouseSuites_Bow,4000,Ship6,15
Interior_Mid,500,Ship7,144
Interior_Aft,550,Ship7,144
Interior_Bow,600,Ship7,144
Balcony_Mid,650,Ship7,144
Balcony_Aft,700,Ship7,144
Balcony_Bow,750,Ship7,128
Suites_Mid,900,Ship7,128
Suites_Aft,1000,Ship7,128
Suites_Bow,1100,Ship7,128
OceanView_Mid,1500,Ship7,80
OceanView_Aft,1800,Ship7,80
OceanView_Bow,2100,Ship7,80
MiniSuites_Mid,2500,Ship7,32
MiniSuites_Aft,2600,Ship7,32
MiniSuites_Bow,2700,Ship7,32
PenthouseSuites_Aft,3500,Ship7,16
PenthouseSuites_Bow,4000,Ship7,16
